AAL,'schlangenförmiger Fisch'
AFFE,'bananenliebendes Tier'
BAER,'großer Honigfresser'
BOCK,'männliche Ziege'
ELCH,'nordischer Hirsch'
ENTE,'Wasservogel mit Schnabel'
ESEL,'störrisches Lasttier'
EULE,'Vogel der Nacht'
FINK,'kleiner Körnerfresser'
FUCHS,'listiges Waldtier'
GANS,'großer Wasservogel'
HAI,'Raubfisch im Meer'
HUHN,'Nutztier für Eier'
IGEL,'Tier mit Stacheln'
KALB,'junges Rind'
KITZ,'junges Reh'
KUH,'weibliches Rind'
LAMA,'spuckendes Andentier'
LAMM,'junges Schaf'
MAUS,'kleines Nagetier'
MOPS,'Hund mit Faltengesicht'
PUTE,'großer Tafelvogel'
RABE,'großer schwarzer Vogel'
REH,'scheues Waldtier'
ROSS,'edles Reittier'
SAU,'weibliches Schwein'
WAL,'größtes Meerestier'
WOLF,'Vorfahr des Hundes'
WURM,'langes Tier ohne Beine'
ADLER,'großer Greifvogel'
AMSEL,'schwarzer Singvogel'
BIBER,'dammbauendes Nagetier'
DACKEL,'Hund mit Langkörper'
DELFIN,'kluges Meerestier'
FORELLE,'beliebter Speisefisch'
FROSCH,'grüner Hüpfer'
GEPARD,'schnellstes Landtier'
HAMSTER,'Nagetier mit Backentaschen'
HIRSCH,'König des Waldes'
HUMMER,'großer Meereskrebs'
KAMEL,'Wüstenschiff mit Höcker'
KATZE,'schnurrendes Haustier'
KOALA,'australischer Baumbewohner'
KRAEHE,'kluger schwarzer Vogel'
KREBS,'Tier mit Scheren'
LACHS,'rosa Wanderfisch'
LOEWE,'König der Tiere'
MUECKE,'blutsaugendes Insekt'
OTTER,'schwimmendes Raubtier'
PANDA,'schwarz-weißer Bär'
PINGUIN,'Vogel im Frack'
SCHAF,'Wolle lieferndes Tier'
SCHWAN,'eleganter Wasservogel'
SCHWEIN,'rosa Allesfresser'
SEEHUND,'Meeressäuger mit Bart'
SPINNE,'Tier mit acht Beinen'
STORCH,'Vogel mit Klappergeräusch'
TIGER,'gestreifte Großkatze'
ZEBRA,'gestreiftes Pferd'
EIDECHSE,'kleines Reptil'
ELEFANT,'Tier mit Rüssel'
ERDMAENNCHEN,'aufpassendes Wüstentier'
FISCHOTTER,'schwimmendes Mardertier'
FLEDERMAUS,'fliegendes Säugetier'
GARNELE,'kleines Krustentier'
GIRAFFE,'Tier mit Langhals'
GOLDFISCH,'oranger Aquariumbewohner'
HAEHNCHEN,'junges Huhn'
HAUSKATZE,'domestizierte Katze'
KAENGURU,'australisches Beuteltier'
KANINCHEN,'karottenliebendes Haustier'
KANARIENVOGEL,'gelber Singvogel'
KROKODIL,'gefährliches Reptil'
LEOPARD,'gefleckte Großkatze'
LIBELLE,'fliegendes Wasserinsekt'
MARIENKAEFER,'gepunkteter Glücksbringer'
MEERSCHWEIN,'quiekendes Haustier'
MURMELTIER,'Alpentier mit Pfiff'
NASHORN,'Tier mit Horn'
NILPFERD,'dickes Flusstier'
PAPAGEI,'bunter Sprechvogel'
SCHAEFERHUND,'großer Arbeitshund'
SCHLANGE,'Tier ohne Beine'
SCHILDKROETE,'Tier mit Panzer'
SEEPFERDCHEN,'kleiner Meeresfisch'
TINTENFISCH,'Meerestier mit Armen'
VOGELSPINNE,'große haarige Spinne'
WASCHBAER,'Tier mit Maske'
WELLENSITTICH,'kleiner Hausvogel'
WILDSAU,'wildes Schwein'
