MUSE,'künstlerische Eingebung'
POET,'schreibt Gedichte'
PROSA,'Text ohne Reim'
REIM,'gleicher Wortklang'
RUHM,'große Bekanntheit'
WERK,'künstlerisches Ergebnis'
GEIGE,'Streichinstrument'
ORGEL,'großes Kircheninstrument'
RHYTHMUS,'Takt der Musik'
STUECK,'Aufführung im Theater'
MODERN,'aus neuer Zeit'
KREATIV,'ideenreich'
BERUEHMT,'sehr bekannt'
KLASSISCH,'alt und bewährt'
DIRIGENT,'leitet ein Orchester'
GEMAELDE,'gemaltes Kunstwerk'
KUNSTWERK,'Objekt der Kunst'
LEINWAND,'Fläche für Maler'
SKULPTUR,'Figur aus Stein'
ZUSCHAUER,'Person im Publikum'
APPLAUDIEREN,'Beifall klatschen'
KOMPONIEREN,'Musik erfinden'
INSPIRATION,'plötzliche gute Idee'
