IBAN,'internationale Kontonummer'
HOLEN,'etwas zu sich nehmen'
DRAN,'an der Reihe'
ZU,'nicht geoeffnet'
BIC,'Bank-Identifikationscode'
SENDUNG,'etwas Verschicktes'
SCHICKEN,'etwas auf den Weg bringen'
ABHOLEN,'etwas entgegennehmen'
PAECKCHEN,'kleines Paket'
UNTEN,'an unterer Stelle'
KONTOSTAND,'aktuelles Guthaben'
GUTHABEN,'positiver Kontostand'
BRIEFMARKE,'Wertzeichen fuer Porto'
PAKETSCHEIN,'Aufkleber fuer Paket'
BANKKARTE,'Plastikkarte fuer Konto'
BANKLEITZAHL,'nationale Banknummer'
SPARBUCH,'Heft fuer Ersparnisse'
UEBERWEISUNG,'Sendung von Geld'
POSTLEITZAHL,'Nummer fuer Ort'
KUNDENNUMMER,'Identifikation fuer Kunden'
TELEFONNUMMER,'Anschlussnummer'
NACHNAHME,'Zahlung bei Lieferung'
EINSCHREIBEN,'Brief mit Nachweis'
EMPFANGEN,'eine Sendung bekommen'
UEBERZIEHEN,'mehr Geld ausgeben'
