PARKHAUS,'Garage für viele Autos'
HOCHHAUS,'Gebäude mit vielen Etagen'
WOHNHAUS,'Gebäude mit Wohnungen'
FAHRRADWEG,'Straße für Radfahrer'
FRIEDHOF,'Garten für die Toten'
SITZBANK,'langer Stuhl im Park'
WASSERWERK,'Fabrik für Trinkwasser'
KRAFTWERK,'Fabrik für Strom'
STADTPLAN,'Karte einer Stadt'
VORORT,'Wohngebiet am Stadtrand'
STAEDTISCH,'zur Stadt gehörend'
FASSADE,'Außenseite vom Haus'
AUFZUG,'kleine fahrende Kabine'
GULLI,'Loch für Regenwasser'
ZEBRASTREIFEN,'sicherer Weg über Straße'
BURG,'alte Festung aus Stein'
ALLEE,'Straße mit Bäumen'
MIETE,'Geld für Wohnung'
