AKTE,'offizielles Dokument'
ALARM,'lautes Warnsignal'
ANGST,'Gefuehl bei Gefahr'
ANWALT,'verteidigt vor Gericht'
ANZEIGE,'Meldung bei Polizei'
ARM,'hat wenig Geld'
AUSWEIS,'persoenliches Dokument'
BANK,'Ort fuer Geld'
BEWEIS,'zeigt die Wahrheit'
BLUT,'rote Koerperfluessigkeit'
CHEF,'Leiter einer Gruppe'
DIEB,'stiehlt fremde Sachen'
DOKUMENT,'wichtiges Schriftstueck'
DUNKELHEIT,'Abwesenheit von Licht'
EIGENTUM,'persoenlicher Besitz'
ERMITTLUNG,'polizeiliche Untersuchung'
FALL,'krimineller Vorfall'
FESTNAHME,'anderes Wort fuer Verhaftung'
FEUER,'zerstoert durch Hitze'
FINDEN,'etwas entdecken'
FRAU,'weibliche Person'
GEFAENGNIS,'Haus mit Gittern'
GEFAHR,'riskante Situation'
GEHEN,'sich fortbewegen'
GEHEIMNIS,'verborgene Information'
GERICHT,'Ort fuer Urteile'
GESETZ,'offizielle Regel'
GESTEHEN,'eine Tat zugeben'
GEWALT,'koerperlicher Angriff'
GIFT,'toedliche Substanz'
GITTER,'Staebe vor Fenster'
HASS,'starkes negatives Gefuehl'
HILFE,'Unterstuetzung in Not'
HOF,'Platz hinter Haus'
KINO,'zeigt Verbrechen im Film'
KRANKENHAUS,'versorgt verletzte Opfer'
KRIMINELL,'gegen das Gesetz'
LEICHE,'toter Koerper'
LIST,'kluger Trick'
MORD,'absichtliche Toetung'
NACHBARIN,'wohnt nebenan'
NOT,'grosses Problem'
OPFER,'Person mit Schaden'
PERSON,'einzelner Mensch'
POLIZEI,'schuetzt die Buerger'
POLIZIST,'verhaftet Kriminelle'
POLIZISTIN,'weiblicher Polizeibeamter'
PROZESS,'Verhandlung vor Gericht'
PROTOKOLL,'schriftlicher Bericht'
RAUB,'gewaltsames Stehlen'
RECHT,'was Gesetz erlaubt'
RICHTER,'entscheidet ueber Schuld'
SCHADEN,'negatives Ergebnis'
SCHULD,'Verantwortung fuer Tat'
SCHULDIG,'nicht unschuldig'
SICHERHEIT,'Zustand ohne Gefahr'
SPRECHEN,'muendlich aussagen'
STEHLEN,'heimlich wegnehmen'
STRAFE,'Folge einer Straftat'
TAETER,'begeht eine Straftat'
TAT,'kriminelle Handlung'
TELEFONAT,'Gespraech am Apparat'
TOT,'nicht mehr lebend'
UNSCHULDIG,'ohne Schuld'
UNTERSUCHEN,'genau ansehen'
URTEIL,'richterliche Entscheidung'
VERBRECHEN,'schlimme Straftat'
VERDACHT,'Vermutung ueber Schuld'
VERHAFTEN,'jemanden festnehmen'
VERLETZUNG,'koerperlicher Schaden'
VERTEIDIGER,'Anwalt des Angeklagten'
WAFFE,'gefaehrlicher Gegenstand'
WAHR,'entspricht den Fakten'
WAHRHEIT,'was wirklich geschah'
ZAUEN,'Grenze um Grundstueck'
ZELLE,'kleiner Gefaengnisraum'
ZEUGE,'beobachtet eine Tat'
ZORN,'grosse Wut'
ZUSAMMENARBEIT,'gemeinsames Handeln'
