LUGE,'gesagte Unwahrheit'
SPUR,'hinterlassenes Zeichen'
NOTRUF,'Anruf bei Gefahr'
TATORT,'Platz des Verbrechens'
EINBRUCH,'illegales Eintreten'
DIEBSTAHL,'heimliches Wegnehmen'
KOMMISSAR,'leitender Polizist'
DETEKTIV,'privater Ermittler'
GEFANGENE,'Person im Gefaengnis'
HANDSCHELLEN,'Fesseln fuer Haende'
FINGERABDRUCK,'persoenliches Hautmuster'
VERDAECHTIGE,'Person unter Verdacht'
BEFRAGUNG,'offizielles Ausfragen'
GEWALTTAT,'Angriff mit Koerperkraft'
LUEGEN,'Unwahrheit sagen'
RUFEN,'laut Stimme benutzen'
GEBEN,'jemandem etwas reichen'
BRECHEN,'etwas kaputtmachen'
SCHLAGEN,'mit der Hand treffen'
TOETEN,'Leben beenden'
VERLETZEN,'jemandem wehtun'
FLIEHEN,'schnell weglaufen'
ANZEIGEN,'Straftat melden'
BEWEISEN,'Wahrheit zeigen'
BESTRAFEN,'eine Strafe erteilen'
FESTNEHMEN,'jemanden ergreifen'
ERMITTELN,'nach Fakten suchen'
VERURTEILEN,'Schuld feststellen'
VERSTECKEN,'sich unsichtbar machen'
BEDROHEN,'mit Gewalt warnen'
UEBERFALLEN,'ploetzlich angreifen'
GEFAEHRLICH,'mit Risiko verbunden'
ILLEGAL,'gegen das Gesetz'
LEGAL,'dem Gesetz entsprechend'
VERBOTEN,'nicht erlaubt'
ERLAUBT,'nicht verboten'
HEIMLICH,'unbemerkt, versteckt'
OEFFENTLICH,'fuer alle zugaenglich'
