HILFSBEREIT,'hilft gerne anderen'
VERHALTEN,'Art zu handeln'
FIGUR,'Form des Körpers'
FRISUR,'gemachte Haare'
BESCHREIBEN,'genau erzählen'
VERTROUEN,'an jemanden glauben'
EIGENSCHAFT,'Teil des Charakters'
PERSOENLICHKEIT,'ganzer Charakter'
TALENT,'besondere Fähigkeit'
HUMOR,'Sinn für Lustiges'
SCHLANK,'dünn und sportlich'
HUEBSCH,'sieht gut aus'
ATTRAKTIV,'zieht Blicke an'
LOCKIG,'keine glatten Haare'
OPTIMIST,'sieht alles positiv'
PESSIMIST,'sieht alles negativ'
REALIST,'sieht die Wirklichkeit'
VERSCHLOSSEN,'redet nicht viel'
SELBSTBEWUSST,'glaubt an sich'
UNGERECHT,'handelt nicht fair'
KOMMUNIKATIV,'redet gern und viel'
TEMPERAMENTVOLL,'voller Energie'
VERSTAENDNISVOLL,'kann andere verstehen'
