AENGSTLICH,'voller Sorge'
ENNTAEUSCHT,'Erwartung nicht erfuellt'
ENTSPANNTE,'nicht gestresst'
FAIR,'fuer alle gerecht'
FEIN,'sehr angenehm'
FREUNDLICH,'sehr nett'
FUERCHTEN,'Angst empfinden'
GENERVT,'durch etwas gestoert'
GESTRESST,'unter Druck'
HASSEN,'stark ablehnen'
HOFFNUNG,'positiver Wunsch'
KUESSSEN,'Kuss geben'
LAECHEELN,'leise lachen'
NEGATIV,'verneinend'
NEIDISCH,'will Besitz anderer'
POSITIV,'bejahend'
SCHUECHTERN,'sehr zurueckhaltend'
SORGEN,'sich Gedanken machen'
STREIT,'lauter Konflikt'
SYMPATHISCH,'sofort angenehm'
TRAUER,'tiefer Schmerz'
UNSICHER,'voller Zweifel'
VERMISSEN,'Abwesenheit bedauern'
VERWIRRT,'gedanklich unklar'
ZORNIG,'voller Wut'
