DORF,'kleine Ortschaft'
UFER,'Rand eines Gewaessers'
WELT,'unser Planet'
WOHNEN,'an einem Ort leben'
AFRIKA,'suedlicher Kontinent'
ALPEN,'hohes Gebirge Europas'
ASIEN,'groesster Erdteil'
BERLIN,'deutsche Hauptstadt'
EBENE,'flaches grosses Land'
EUROPA,'unser Kontinent'
FAHREN,'sich fortbewegen'
GEGEND,'bestimmter Bereich'
GRENZE,'Trennlinie zwischen Laendern'
HOCH,'weit oben'
KANADA,'grosses Land Nordamerikas'
KARTE,'gezeichneter Plan'
LAGUNE,'flaches Kuestengewaesser'
LONDON,'Hauptstadt von England'
MOSKAU,'russische Hauptstadt'
NORDEN,'noerdlicher Bereich'
OZEAN,'riesiges Weltmeer'
PARIS,'franzoesische Hauptstadt'
POLEN,'Nachbarland im Osten'
REGION,'groesseres Gebiet'
REISEN,'neue Orte entdecken'
SUEDEN,'suedlicher Bereich'
WUESTE,'sehr trockenes Gebiet'
ZELT,'transportables Haus'
AMERIKA,'westlicher Doppelkontinent'
BRASILIEN,'Land des Karnevals'
DEUTSCHLAND,'Nachbar von Daenemark'
ERDKUNDE,'Schulfach ueber Laender'
FRANKREICH,'Land des Eiffelturms'
GRIECHENLAND,'Land der alten Goetter'
HALBINSEL,'fast eine Insel'
HORIZONT,'ferne Sichtlinie'
ITALIEN,'stiefelfoermiges Land'
JAPAN,'Land der aufgehenden Sonne'
KOMPASS,'Geraet zur Orientierung'
KONTINENT,'grosser Erdteil'
LANDKARTE,'Darstellung einer Region'
MITTELMEER,'Meer zwischen Kontinenten'
OESTERREICH,'suedlicher Nachbar Deutschlands'
REISEPASS,'wichtiges Dokument'
REISEZIEL,'Ort des Urlaubs'
RUSSLAND,'flaechenmaessig groesstes Land'
SCHWEDEN,'skandinavisches Koenigreich'
SCHWEIZ,'Land der Uhren'
SPANIEN,'Land auf iberischer Halbinsel'
STAATSBUERGER,'Einwohner eines Landes'
STATION,'Haltestelle fuer Zuege'
TUERKEI,'Land zwischen Kontinenten'
UMGEBUNG,'naheliegendes Gebiet'
VERKEHR,'Bewegung von Fahrzeugen'
WELTREISE,'Tour um den Globus'
WANDERUNG,'langer Spaziergang'
