BLUTEN,'Blut verlieren'
EINATMEN,'Luft hineinziehen'
HALSSCHMERZEN,'Wehtun im Hals'
HEILEN,'wieder gesund machen'
KLINIK,'kleines Krankenhaus'
KOPFSCHMERZEN,'Wehtun im Kopf'
MAGEN,'Organ fuer Essen'
NIESEN,'explosiv ausatmen'
NOTAUFNAHME,'Hilfe bei Unfall'
OPERIEREN,'mit Schnitt heilen'
PATIENT,'Person beim Arzt'
PFLASTER,'klebt auf Wunde'
UEBELKEIT,'schlechtes Magengefuehl'
UNFALL,'ploetzliches Schadensereignis'
VERSICHERUNG,'finanzieller Schutz'
WARTEZIMMER,'Raum vor Behandlung'
ZAHNWEH,'Schmerz am Zahn'
ZEH,'kleiner Finger am Fuss'
