LUNGE,'Organ zum Atmen'
LEBER,'großes Organ im Bauch'
NIERE,'Organ für Urin'
BLASE,'speichert den Urin'
DARM,'langes Verdauungsorgan'
BLASS,'mit wenig Gesichtsfarbe'
ZEHE,'Teil vom Fuß'
GELENK,'bewegliche Knochenverbindung'
Rippe,'Knochen am Brustkorb'
BEWEGEN,'Körper nicht ruhen lassen'
NOTFALL,'plötzliche Gefahr'
GRIPPE,'starke Erkältung'
SIRUP,'flüssige süße Arznei'
NARBE,'Zeichen alter Wunde'
OPERATION,'Eingriff im Krankenhaus'
CHIRURG,'Arzt für Operationen'
PFLEGER,'hilft Kranken im Heim'
AERZTIN,'weiblicher Arzt'
ALLERGIE,'starke Reaktion auf Stoffe'
ERKAELTUNG,'leichte Krankheit'
DIAGNOSE,'Ergebnis der Untersuchung'
THERAPIE,'Behandlung einer Krankheit'
VERDAUUNG,'Verarbeitung von Essen'
SANITATER,'Helfer im Krankenwagen'
ERBRECHEN,'Mageninhalt auswerfen'
ABNEHMEN,'Gewicht verlieren'
ZUNEHMEN,'Gewicht bekommen'
WIRBELSAEULE,'Knochen im Rücken'
ENTZUENDUNG,'rote schmerzende Stelle'
VERSTAUCHUNG,'Gelenk verdreht'
KNOCHENBRUCH,'gebrochener Knochen'
RETTUNG,'Hilfe im Notfall'
