KERL,'Mann vom Nikolaus'
UMZUG,'Parade auf Strasse'
GLOCKE,'klingt zu Festen'
KUGEL,'runder Baumschmuck'
MASKE,'Gesichtsverkleidung'
FESTLICH,'zur Feier passend'
WUENSCHEN,'Hoffnung ausdruecken'
NIKOLAUS,'kommt am 6. Dezember'
DEKORATION,'Verschoenerung fuer Fest'
ANSTOSSEN,'Glaeser klingen lassen'
SCHMUECKEN,'schoen dekorieren'
BESCHERUNG,'Geschenke an Weihnachten'
OSTERHASE,'bringt bunte Eier'
WEIHNACHTSMANN,'bringt Geschenke'
WEIHNACHTSMARKT,'Markt im Advent'
GEBURTSTAGSKIND,'Person mit Ehrentag'
GEBURTSTAGSKUCHEN,'Torte zum Ehrentag'
ZUSAMMENSEIN,'gemeinsame Zeit'
VORFREUDE,'Freude auf Zukuenftiges'
FASTNACHT,'Zeit der Kostueme'
