PUTZ,'Aktion des Reinigens'
FALTEN,'Kleidung zusammenlegen'
KUEBEL,'kleiner Eimer'
SPUEHLEN,'Geschirr säubern'
EINKAUF,'Besorgung von Waren'
BUERSTE,'hat viele Borsten'
RAUMEN,'Platz schaffen'
FUELLEN,'etwas hineintun'
WISCHER,'Gerät zum Bodenputzen'
ABWASCH,'Reinigung des Geschirrs'
HAUSHALT,'Arbeit im Haus'
ABDECKEN,'etwas zudecken'
ABSTAUBEN,'Staub wegwischen'
FLECKEN,'kleine schmutzige Stelle'
DECKEL,'zum Topf verschließen'
STAUBTUCH,'Lappen gegen Staub'
REINIGUNG,'das Sauberwerden'
SPUEHLMITTEL,'Seife für Geschirr'
STAUBWISCHEN,'Staub entfernen'
BODENWISCHEN,'Fußboden nass reinigen'
FENSTERPUTZEN,'Glasflächen reinigen'
STAUBBEUTEL,'Sack für Staubsauger'
SCHEUERMILCH,'starkes Putzmittel'
PUTZPLAN,'Liste der Aufgaben'
SAUBERMACHEN,'alles reinigen'
WEGRAEUMEN,'Dinge an Platz legen'
AUSLEEREN,'Mülleimer entleeren'
ABWISCHEN,'Oberfläche säubern'
AUSSCHUETTELN,'Decke von Krümeln befreien'
ZUBEREITEN,'Mahlzeit fertig machen'
WEGBRINGEN,'Müll nach draußen'
GEORDNET,'nicht chaotisch'
UNORDENTLICH,'voller Chaos'
GEWASCHEN,'frisch aus Maschine'
GEBUEGELT,'ohne Falten'
GEREINIGT,'sauber gemacht'
EINKAUFSLISTE,'Zettel für Supermarkt'
