AST,'Arm vom Baum'
BACH,'kleiner Fluss'
BAUM,'grosse Holzpflanze'
BERG,'sehr hoher Huegel'
BLATT,'Teil einer Pflanze'
BUSCH,'kleine Baumgruppe'
EIS,'gefrorenes Wasser'
FELD,'flaches Stueck Land'
GRAS,'gruener Bodenbelag'
HUEGEL,'kleiner Berg'
MOOS,'weiche gruene Pflanze'
TAL,'tief zwischen Bergen'
TEICH,'kleiner See'
WALD,'Ort mit Baeumen'
WIESE,'Feld mit Gras'
BLITZ,'Licht bei Gewitter'
DONNER,'lautes Wettergeraeusch'
FEUCHT,'ein bisschen nass'
FLUSS,'fliessendes Wasser'
FROST,'weisses kaltes Eis'
GEBIRGE,'Gruppe von Bergen'
HAGEL,'Regen aus Eis'
INSSEL,'Land im Wasser'
KLIMA,'Wetter ueber Jahre'
NEBEL,'Wolke am Boden'
STURM,'sehr starker Wind'
TIER,'lebt und bewegt'
TROPFEN,'kleine Menge Wasser'
VOGEL,'Tier mit Fluegeln'
WURZEL,'Pflanzenteil im Boden'
BERGSEE,'See in Hoehe'
BERGSPITZE,'hoechster Punkt'
BLUMENWIESE,'Feld mit Blumen'
EISBLUME,'Muster aus Frost'
FLUSSUFER,'Rand vom Fluss'
GEWITTER,'Sturm mit Blitz'
HIMMELSBLAU,'Farbe des Himmels'
JAHRESZEIT,'Abschnitt des Jahres'
LANDSCHAFT,'Aussehen der Natur'
MEERESLUFT,'Wind vom Wasser'
MORGENSONNE,'Licht am Vormittag'
REGENMANTEL,'Jacke gegen Naesse'
REGENSCHIRM,'Schutz vor Regen'
SCHNEEMANN,'Figur aus Schnee'
SONNENCREME,'Schutz fuer Haut'
SONNENHUT,'Kopfschutz vor Sonne'
SONNENSCHEIN,'Licht der Sonne'
STRANDKORB,'Sitzmoebel am Meer'
TANNENBAUM,'Nadelbaum zu Weihnachten'
TIERWELT,'Gesamtheit der Tiere'
UMWELT,'unsere natuerliche Welt'
WALDBODEN,'Erde unter Baeumen'
WALDWEG,'Pfad durch Baeume'
WASSERFALL,'fallender Fluss'
WETTERDIENST,'informiert ueber Wetter'
WETTERFROSCH,'Tier sagt Wetter'
WETTERKARTE,'Plan vom Wetter'
WOLKENLOS,'Himmel ohne Wolken'
