DUENE,'Sandhuegel am Meer'
FELS,'grosser Stein'
NEST,'Zuhause fuer Voegel'
TAUEN,'zu Wasser werden'
WEHEN,'sich bewegen (Luft)'
KAELTE,'tiefe Temperatur'
STAMM,'dicker Teil vom Baum'
BLITZEN,'Licht machen (Gewitter)'
BLUEHEN,'Blueten bekommen'
DONNERN,'laut grollen'
ERNTEN,'Fruechte einsammeln'
BLUETENSTAUB,'gelbes Pflanzenpulver'
LANDWIRTSCHAFT,'Arbeit auf Feld'
EICHHOERNCHEN,'Tier mit buschigem Schwanz'
BERGLANDSCHAFT,'Natur mit Bergen'
VOGELNEST,'Haus fuer Vogel'
UEBERSCHWEMMUNG,'zu viel Wasser'
MORGENROETE,'roter Himmel frueh'
ABENDROETE,'roter Himmel spaet'
MONDSCHEIN,'Licht in Nacht'
REGENSCHAUER,'kurzer starker Regen'
STUERMISCH,'sehr windig'
GEFRIEREN,'zu Eis werden'
