JOB,'berufliche Aufgabe'
ARZT,'heilt kranke Menschen'
KOCH,'bereitet Essen zu'
POST,'bringt Briefe'
LOHN,'Geld für Arbeit'
TEAM,'berufliche Gruppe'
FREI,'nicht beschäftigt'
CHEFIN,'weiblicher Vorgesetzter'
ARZTIN,'weiblicher Mediziner'
KOCHIN,'weiblicher Küchenprofi'
FEST,'unbefristet'
CHEFS,'mehrere Vorgesetzte'
JOBS,'mehrere Aufgaben'
KURS,'berufliche Schulung'
LISTE,'berufliches Verzeichnis'
MAIL,'digitale Nachricht'
ARBEIT,'berufliche Tätigkeit'
BERUF,'erlernte Tätigkeit'
BUERO,'Raum mit Schreibtisch'
FIRMA,'beruflicher Betrieb'
BAUER,'arbeitet in Landwirtschaft'
BAECKER,'stellt Backwaren her'
MALER,'streicht Wände an'
PILOT,'steuert Flugzeuge'
MODEL,'präsentiert Kleidung'
SAENGER,'singt beruflich'
LESEN,'Text erfassen'
KOLLEGE,'arbeitet im selben Team'
ANRUF,'telefonisches Gespräch'
EMAIL,'elektronischer Brief'
ERFOLG,'positives Ergebnis'
KUNDIN,'weiblicher Käufer'
BERICHT,'schriftliche Darstellung'
ARBEITEN,'beruflich tätig sein'
STUDIEREN,'an Hochschule lernen'
VERDIENEN,'Gehalt erhalten'
ARBEITSLOS,'ohne Beschäftigung'
SEKRETAER,'organisiert das Büro'
KELLNERIN,'bedient im Lokal'
LEHRERIN,'weibliche Lehrkraft'
STUDENTIN,'lernt an Universität'
KOLLEGIN,'weiblicher Mitarbeiter'
INGENIEUR,'technischer Experte'
ARCHITEKT,'entwirft Gebäude'
MECHANIKER,'repariert Maschinen'
PRAKTIKUM,'berufliche Lernphase'
HAUSFRAU,'organisiert Haushalt'
HAUSMANN,'männliche Haushaltsperson'
POSTBOTE,'stellt Pakete zu'
TAXIFAHRER,'befördert Personen'
FRISEURIN,'schneidet Haare'
MUSIKERIN,'spielt Instrument'
SCHUELERIN,'lernt in der Schule'
SCHREIBTISCH,'beruflicher Arbeitsplatz'
MITARBEITER,'Person in einer Firma'
VORGESETZTER,'Person mit Leitungsfunktion'
BESPRECHUNG,'berufliches Treffen'
UEBERSTUNDE,'zusätzliche Arbeitszeit'
