ZONE,'Bereich fuer Ticket'
WAGON,'Teil von Zug'
STRECKE,'Weg von A nach B'
REISEZENTRUM,'Info-Buero am Bahnhof'
NAHVERKEHR,'Reisen in Stadt'
FERNVERKEHR,'Reisen zwischen Staedten'
FAHRRADKARTE,'Ticket fuer Rad'
EINZELFAHRT,'nur eine Reise'
TAGESKARTE,'Ticket fuer 24 Stunden'
WOCHENKARTE,'Ticket fuer 7 Tage'
ENTWERTER,'Geraet fuer Ticket-Stempel'
SCHIENE,'Metallweg fuer Zug'
VERPASSEN,'zu spaet sein'
REISENDER,'Person auf Fahrt'
PENDLER,'taeglicher Fahrgast'
NETZPLAN,'Karte mit Linien'
ERMAESSIGUNG,'billigerer Preis'
ZUSCHLAG,'extra Kosten'
SCHLIESSFACH,'Box fuer Gepaeck'
ERSTEKLASSE,'teurer Sitzbereich'
ZWEITEKLASSE,'normaler Sitzbereich'
SPEISEWAGEN,'Restaurant im Zug'
RUHEBEREICH,'leises Abteil'
FAHRZEUG,'Bus oder Bahn'
VERKEHRSMITTEL,'Bus, Bahn, Auto'
UMLEITUNG,'anderer Weg'
SCHIENENERSATZVERKEHR,'Bus statt Zug'
BEGLEITER,'Person die mithilft'
ROLLTREPPE,'fahrende Stufen'
UNTERFUEHRUNG,'Weg unter Gleisen'
FAHRSTUHL,'anderes Wort fuer Aufzug'
