BALL,'rundes Spielgerät'
SPIELEN,'sich sportlich messen'
LAUFEN,'schnell gehen'
SCHWIMMEN,'im Wasser bewegen'
FIT,'körperlich leistungsfähig'
GESUND,'nicht krank'
FUSSBALL,'populärer Ballsport'
BEIN,'Körperteil zum Laufen'
RENNEN,'sehr schnell laufen'
HALLE,'Gebäude für Sport'
PLATZ,'Ort für Sport draussen'
TOR,'Ziel beim Fussball'
SPIEL,'sportlicher Wettkampf'
GEWINNEN,'erfolgreich sein'
VERLIEREN,'nicht siegreich sein'
TRAINING,'sportliche Vorbereitung'
TRAINER,'sportlicher Anleiter'
PFERD,'Tier zum Reiten'
REITEN,'auf einem Pferd sitzen'
BOOT,'Fahrzeug für Wasser'
SEGELN,'mit Windkraft fahren'
WETTKAMPF,'sportlicher Vergleich'
SIEG,'erfolgreicher Abschluss'
POKAL,'Trophäe für Gewinner'
MEDAILLE,'Auszeichnung für Sieger'
SPIELER,'Teilnehmer am Spiel'
MANNSCHAFT,'sportliches Team'
TRIKOT,'Kleidung für Sportler'
SCHUH,'Bekleidung für Fuesse'
SPORTSCHUH,'Fussbekleidung für Training'
SPORTTASCHE,'Behältnis für Ausrüstung'
SCHLAEGER,'Gerät für Tennis'
SCHWIMMBAD,'Gebäude mit Becken'
BOXEN,'Kampfsport mit Fäusten'
RING,'Kampfbereich beim Boxen'
YOGA,'entspannende Übungen'
KOERPER,'menschlicher Organismus'
BEWEGUNG,'körperliche Aktivität'
AUSDAUER,'langes Durchhalten'
KRAFTSPORT,'Training für Muskeln'
FITNESSSTUDIO,'Ort für Krafttraining'
HANDBALL,'Sportart mit Torwurf'
BASKETBALL,'Sportart mit Korbwurf'
VOLLEYBALL,'Spiel über das Netz'
EISHOCKEY,'schnelles Spiel auf Eis'
SKI,'für den Schnee'
WINTERSPORT,'Aktivität bei Kälte'
START,'Beginn des Wettkampfs'
RUNDE,'Abschnitt eines Rennens'
MEISTER,'bester Sportler'
MEISTERSCHAFT,'wichtigster Wettbewerb'
SPIELREGEL,'Anweisung für Wettkampf'
SPRINGEN,'in die Luft hüpfen'
SEIL,'zum Springen oder Klettern'
KLETTERN,'bergauf steigen'
FANGEN,'Ball greifen'
FREIZEIT,'Zeit für Hobbys'
GESUNDHEIT,'körperliches Wohlbefinden'
SCHLAF,'wichtige Erholung'
