LINK,'Verweis auf Webseite'
AN,'in Betrieb'
AUS,'nicht in Betrieb'
CHAT,'schriftliches Gespräch'
TIPPEN,'auf Tastatur schreiben'
KLICKEN,'Maustaste betätigen'
SURFEN,'im Internet bewegen'
MAILEN,'elektronisch Post schicken'
DATEN,'gespeicherte Informationen'
HANDY,'tragbares Telefon'
TASTE,'Teil der Tastatur'
DRUCKER,'Gerät für Papierausdrucke'
LAPTOP,'klappbarer Computer'
TABLET,'flacher Touch-Computer'
ORDNER,'digitaler Sammelort'
DATEI,'gespeicherte Information'
GERAET,'technischer Apparat'
OFFLINE,'ohne Internetverbindung'
KAPUTT,'nicht funktionstüchtig'
ANMACHEN,'Gerät aktivieren'
AUSMACHEN,'Gerät deaktivieren'
KONTAKT,'Verbindung zu Person'
BILDSCHIRM,'Anzeigefläche des Computers'
PASSWORT,'geheimes Zugangswort'
SCHLIESSEN,'Programm beenden'
INSTALLIEREN,'Programm einrichten'
FOTOAPPARAT,'Gerät zum Fotografieren'
ELEKTRONISCH,'mit Strom betrieben'
FUNKTIONIEREN,'ordnungsgemäß laufen'
VERBINDEN,'Kontakt herstellen'
DRUCKEN,'Text auf Papier bringen'
LOESCHEN,'Daten entfernen'
SPEICHERN,'Daten sichern'
OEFFNEN,'Zugang ermöglichen'
ANMELDEN,'Zugang erhalten'
HOCHLADEN,'Daten ins Netz stellen'
WEITERLEITEN,'Nachricht erneut senden'
BENUTZERNAME,'persönlicher Anmeldename'
EINSTELLUNG,'persönliche Anpassung'
TASTATUR,'Brett mit Schreibtasten'
TELEFONBUCH,'Liste mit Nummern'
MOBILTELEFON,'anderes Wort für Handy'
