MAI,'fünfter Jahresabschnitt'
JUNI,'Monat vor Juli'
JULI,'siebter Jahresabschnitt'
JETZT,'in diesem Moment'
BALD,'in kurzer Zeit'
DANN,'zu einem Zeitpunkt'
NIE,'zu keinem Zeitpunkt'
FRUEH,'zeitig am Morgen'
SPAET,'nach der Zeit'
EWIG,'ohne zeitliches Ende'
JAHR,'zwölf Monate lang'
ENDE,'letzter Zeitpunkt'
HEUTE,'am heutigen Tag'
ABEND,'Ende des Tages'
NACHT,'Zeit ohne Sonne'
GESTERN,'am vorigen Tag'
IMMER,'zu jeder Zeit'
MORGEN,'der folgende Tag'
EBEN,'gerade geschehen'
NOCH,'bis jetzt andauernd'
SCHON,'bereits geschehen'
MAL,'einmaliger Vorgang'
EINS,'erste Stundenzahl'
ZWEI,'zweite Stundenzahl'
DREI,'dritte Stundenzahl'
HALB,'hälftige Stunde'
WOCHE,'sieben Tage zusammen'
MONAT,'ungefähr dreißig Tage'
MINUTE,'sechzig Sekunden'
DATUM,'Tag im Kalender'
APRIL,'Monat mit Wetterwechsel'
MAERZ,'dritter Jahresabschnitt'
SOMMER,'wärmste Jahreszeit'
HERBST,'Jahreszeit der Ernte'
WINTER,'kälteste Jahreszeit'
JANUAR,'erster Jahresabschnitt'
FEBRUAR,'kürzester Jahresabschnitt'
AUGUST,'achter Jahresabschnitt'
ANFANG,'erster Moment'
DAUERN,'Zeit beanspruchen'
PLANEN,'Zukunft organisieren'
ENDEN,'zum Schluss kommen'
SAMSTAG,'Beginn des Wochenendes'
SONNTAG,'freier Wochentag'
TAEGLICH,'jeden Tag wiederkehrend'
SEKUNDE,'kleinste Zeiteinheit'
MITTAG,'Mitte des Tages'
GLEICH,'in wenigen Momenten'
SOFORT,'ohne zu warten'
SIEBEN,'Anzahl der Wochentage'
ZWOELF,'Anzahl der Monate'
MOMENT,'kurzer Augenblick'
FRUEHER,'zeitlich davor'
SPAETER,'zeitlich danach'
TERMIN,'feste Verabredung'
FERIEN,'schulfreie Zeit'
ZUKUNFT,'kommende Zeit'
DIENSTAG,'zweiter Arbeitstag'
SEPTEMBER,'neunter Jahresabschnitt'
OKTOBER,'zehnter Jahresabschnitt'
NOVEMBER,'Monat vor Dezember'
DEZEMBER,'letzter Jahresabschnitt'
KALENDER,'Planer für Tage'
UHRZEIT,'genauer Zeitpunkt'
GEBURTSTAG,'jährlicher Feiertag'
FEIERTAG,'besonderer freier Tag'
VORMITTAG,'Zeit vor Mittag'
NACHMITTAG,'Zeit nach Mittag'
JAEHRLICH,'jedes Jahr wiederkehrend'
MONATLICH,'jeden Monat wiederkehrend'
WOECHENTLICH,'jede Woche wiederkehrend'
BEGINNEN,'etwas anfangen'
FRUEHLING,'Jahreszeit des Wachstums'
VORGESTERN,'am Tag vor gestern'
UEBERMORGEN,'am Tag nach morgen'
JAHRZEHNT,'zehn Jahre zusammen'
MITTERNACHT,'Mitte der Nacht'
ZEITPUNKT,'genauer Moment'
VERGANGENHEIT,'gewesene Zeit'
GEGENWART,'jetzige Zeit'
AUGENBLICK,'sehr kurze Zeit'
HALBJAHR,'sechs Monate zusammen'
FEIERABEND,'Ende der Arbeit'
