AKKUSCHRAUBER,'Schrauber ohne Kabel'
ANLEITUNG,'Plan zum Aufbauen'
ARBEITSBANK,'Tisch zum Werken'
AXT,'Werkzeug für Holzfäller'
BEFESTIGEN,'etwas fest machen'
BOHRMASCHINE,'Gerät für Löcher'
BRECHEISEN,'Stange zum Aufbrechen'
DRAHTBUERSTE,'zum Rost entfernen'
FARBROLLE,'Werkzeug zum Streichen'
FEILEN,'Metall glatt machen'
GRIFF,'Teil zum Festhalten'
HAMMERSTIEL,'Griff vom Hammer'
HANDSAEGE,'Säge ohne Strom'
HEIMWERKER,'bastelt zu Hause'
HOBELN,'Holz glatt machen'
HOLZLEIM,'Klebstoff für Holz'
KASTEN,'Behälter für Werkzeug'
KETTENSAEGE,'motorisierte Holzsäge'
KLEBER,'Substanz zum Verbinden'
KREISSAEGE,'Säge mit rundem Blatt'
LACKIEREN,'mit Lack bestreichen'
LATTE,'langes dünnes Holz'
LEIMEN,'zusammenkleben'
LOETEN,'Metall mit Hitze verbinden'
LOETKOLBEN,'Gerät zum Löten'
MONTAGE,'Zusammenbau von Teilen'
SANDPAPIER,'raues Papier zum Schleifen'
SCHLEIFEN,'Oberfläche glätten'
SCHNUR,'dünnes Seil'
SCHRAUBENZIEHER,'Dreher für Schrauben'
SCHRAUBZWINGE,'presst Teile zusammen'
SCHUTZBRILLE,'Augenschutz bei Arbeit'
STICHSAEGE,'Säge für Kurven'
TISCHLER,'Beruf für Holzarbeit'
VERLAENGERUNG,'macht Kabel länger'
