ROM,'Mitte von Italien'
SEE,'stehendes Gewässer'
MEER,'riesiges Salzwasser'
STADT,'großer Wohnort'
FLUSS,'fließendes Gewässer'
INSEL,'einsames Landstück'
SUEDEN,'warme Himmelsrichtung'
FRANKREICH,'westliches Nachbarland'
DEUTSCHLAND,'Heimat von Goethe'
HAUPTSTADT,'wichtigste Stadt'
TAL,'tiefes Land'
SEE,'viel stilles Wasser'
MEER,'sehr viel Salzwasser'
BERG,'hoher Felsen'
NORD,'obere Richtung'
SUED,'untere Richtung'
OST,'rechte Richtung'
WEST,'linke Richtung'
LAND,'Staat oder Erde'
ORT,'Punkt auf Karte'
WELT,'unsere ganze Erde'
ROM,'italienische Hauptstadt'
BERN,'Schweizer Hauptstadt'
WIEN,'österreichische Hauptstadt'
BONN,'alte deutsche Hauptstadt'
EURO,'europäisches Geld'
PASS,'Heft für Reisen'
UFER,'Rand vom Wasser'
WALD,'Ort mit Bäumen'
FELD,'Boden für Bauern'
POL,'kaltes Ende'
EIS,'hartes kaltes Wasser'
WEG,'Pfad zum Gehen'
SAND,'gelber weicher Boden'
FLUG,'Reise in Luft'
BAHN,'Zug auf Schienen'
DORF,'sehr kleine Stadt'
GAST,'Besucher im Hotel'
ZUG,'langes Verkehrsmittel'
PLAN,'Papier für Wege'
ZELT,'Haus aus Stoff'
BURG,'altes Schloss'
DOM,'sehr große Kirche'
STADT,'Ort mit Hochhäusern'
FLUSS,'langes fließendes Wasser'
INSEL,'Land im Wasser'
ASIEN,'größter Erdteil'
EUROPA,'unser Erdteil'
AFRIKA,'sehr heißer Erdteil'
KUESTE,'Land am Meer'
GRENZE,'Linie zwischen Staaten'
NATUR,'Welt der Pflanzen'
BODEN,'Erde unter Füßen'
HIMMEL,'Luftraum über uns'
KLIMA,'Wetter über Jahre'
WETTER,'Regen oder Sonne'
REISE,'Fahrt in Urlaub'
URLAUB,'freie Zeit weg'
FERIEN,'schulfreie Zeit'
BERLIN,'deutsche Hauptstadt'
PARIS,'französische Hauptstadt'
LONDON,'englische Hauptstadt'
MADRID,'spanische Hauptstadt'
ITALIEN,'Land wie Stiefel'
SPANIEN,'Land neben Portugal'
SCHWEIZ,'Land mit Bergen'
BAYERN,'Land im Süden'
NORDEN,'kalte Richtung'
SUEDEN,'warme Richtung'
OSTEN,'Richtung der Sonne'
WESTEN,'Richtung vom Abend'
REGION,'Teil vom Land'
GEBIET,'bestimmter Platz'
STRAND,'Sand am Meer'
WASSER,'Flüssigkeit zum Trinken'
HAFEN,'Parkplatz für Schiffe'
BRUECKE,'Weg über Wasser'
DEUTSCHLAND,'Land in Europa'
OESTERREICH,'Land neben Bayern'
FRANKREICH,'Land mit Paris'
HAUPTSTADT,'wichtigste Stadt'
KONTINENT,'riesiges Stück Erde'
LANDSCHAFT,'Natur um uns'
BERGKETTE,'Reihe von Bergen'
FLUGZEUG,'Maschine am Himmel'
ZUGBAHNHOF,'Haus für Züge'
FLUGHAFEN,'Startplatz für Flüge'
REISEPASS,'Buch für Grenzen'
LANDKARTE,'Bild von Ländern'
MITTELMEER,'Wasser bei Italien'
ATLANTIK,'Ozean im Westen'
AUSTRALIEN,'Land der Kängurus'
BUNDESLAND,'Teil von Deutschland'
URLAUBER,'Mensch auf Reise'
STADTAMT,'Büro der Stadt'
RICHTUNG,'Weg zum Ziel'
SANDSTRAND,'weicher Meeresrand'
REISEZIEL,'Ort für Urlaub'
WELTKARTE,'Bild der Erde'
ERDKUNDE,'Wissen über Länder'
TIERPARK,'Garten mit Tieren'
SCHWARZWALD,'bekannter deutscher Wald'
NORDAMERIKA,'Erdteil mit USA'
SUEDAMERIKA,'Erdteil mit Brasilien'
EINWOHNER,'Mensch in Stadt'
KREUZUNG,'Treffpunkt von Straßen'
AUTOBAHN,'schnelle breite Straße'
SCHWEDEN,'Land im Norden'
NORWEGEN,'Land mit Fjorden'
DAENEMARK,'Land über Deutschland'
