ZIEGE,'klettert in Bergen'
AFFEN,'klettern auf Bäumen'
MEERSCHWEINCHEN,'kleines Haustier'
KAFER,'Insekt mit Panzer'
PONY,'kleines Pferd'
ROBBE,'liegt auf Eisscholle'
STRAUSS,'großer Laufvogel'
PFAU,'macht ein Rad'
GORILLA,'großer Menschenaffe'
KANGURU,'springt mit Beutel'
WALROSS,'hat lange Stoßzähne'
PANTHER,'schwarze Großkatze'
HYAENE,'lacht in der Savanne'
ANTILOPE,'schnelles Steppentier'
RENTIER,'zieht den Schlitten'
PUDEL,'Hund mit Lockenfell'
SITTICH,'kleiner Papagei'
KAKERLAKE,'ungeliebter Küchengast'
AMEISE,'fleißiges Krabbeltier'
HEUSCHRECKE,'springendes Insekt'
KROETE,'Verwandte des Frosches'
SALAMANDER,'feuchte kleine Echse'
STIER,'männliches Rind'
OCHSE,'kastrierter Stier'
FERKEL,'junges Schwein'
KUEKEN,'junger Vogel'
WELPE,'junger Hund'
FOEHRE,'junges Pferd'
LAUS,'lebt in Haaren'
FLOH,'springender Parasit'
MARDER,'beißt in Autokabel'
TAUBE,'Vogel in der Stadt'
SPATZ,'kleiner Stadtvogel'
