APPLAUS,'Beifall durch Klatschen'
AUSSTELLUNG,'oeffentliche Kunstschau'
BALLETT,'kuenstlerischer Buehnentanz'
BILDHAUER,'Kuenstler fuer Skulpturen'
BUEHNENBILD,'Kulisse im Theater'
CHOR,'Gruppe von Saengern'
DARSTELLER,'Person in Filmrolle'
DREHBUCH,'Textgrundlage fuer Film'
FARBIG,'nicht schwarzweiss'
FARBSTIFT,'Stift zum Ausmalen'
FESTIVAL,'mehrtägige Kulturveranstaltung'
FOTOGRAFIE,'Herstellung von Lichtbildern'
GALERIE,'Raum fuer Kunstverkauf'
GEMAEHLDE,'mit Farbe geschaffenes Bild'
GESANG,'Kunst des Singens'
GITARRE,'sechssaitiges Instrument'
HAUPTROLLE,'wichtigste Figur'
HOBBY,'Freizeitbeschaeftigung'
JAZZ,'Musik aus Amerika'
KINOSTART,'erster Tag eines Films'
KLAVIER,'Instrument mit Tasten'
KOMPONIST,'Erfinder von Musik'
KUENSTLER,'schaffende Person'
KULTUR,'geistige Lebensart'
KULTURHAUS,'Gebaeude fuer Veranstaltungen'
LITERATUR,'geschriebene Kunstwerke'
MALEREI,'Kunst des Malens'
MELODIE,'Abfolge von Toenen'
MUSICAL,'Theater mit Gesang'
NEBENROLLE,'unwichtigere Figur'
OPERNHAUS,'Gebaeude fuer Opern'
PINSEL,'Werkzeug zum Malen'
POP,'moderne Unterhaltungsmusik'
REGISSEUR,'Leiter einer Filmproduktion'
SCHRIFTSTELLER,'Beruf des Autors'
SINGER,'Person die singt'
SYMPHONIE,'langes Orchesterstueck'
TANZTHEATER,'getanztes Buehnenstueck'
VORSTELLUNG,'Auffuehrung im Theater'
ZEICHNEN,'mit Stift darstellen'
