DOM,'große Hauptkirche'
ECKE,'wo zwei Straßen treffen'
TURM,'hohes Bauwerk'
UBAHN,'unterirdischer Zug'
AMPEL,'Lichtsignal für Verkehr'
FAHRER,'Person am Steuer'
GLEIS,'Fahrspur für Züge'
TREPPE,'Stufen zum Aufsteigen'
TÜR,'Eingang zu Raum'
BAHNSTEIG,'Wartebereich für Züge'
FEUERWEHR,'Organisation gegen Brände'
FUSSGAENGER,'Person auf dem Gehweg'
GEBAEUDE,'größeres Bauwerk'
GEHWEG,'Weg neben Straße'
KREUZUNG,'Treffpunkt von Straßen'
PARKPLATZ,'Stellfläche für Autos'
RATHAUS,'Gebäude der Stadtleitung'
SPIELPLATZ,'Bereich für Kinder'
TANKSTELLE,'Ort zum Treibstoffkauf'
WOHNUNG,'Teil eines Hauses'
