KLEID,'einteiliges Damenstueck'
PULLOVER,'gestricktes Oberteil'
ANZUG,'elegante Kombination'
GUERTEL,'Taillenband fuer Hosen'
SCHAL,'Halstuch gegen Kaelte'
HANDSCHUHE,'Fingerwaermer aus Stoff'
SOCKEN,'Fusswaermer im Schuh'
STIEFEL,'hohe Schuhe'
HUT,'Kopfbedeckung mit Rand'
BLUSE,'elegantes Damenhemd'
JEANS,'Hose aus Denimstoff'
TSHIRT,'kurzaermeliges Oberteil'
MANTEL,'lange Oberbekleidung'
BADEANZUG,'Schwimmkleidung fuer Frauen'
BADEHOSE,'Schwimmkleidung fuer Maenner'
SCHLAFANZUG,'Kleidung fuer die Nacht'
NACHTHEMD,'langes Schlafshirt'
UNTERHOSE,'unterste Beinschicht'
UNTERHEMD,'unterste Oberkoerperschicht'
KRAWATTE,'gebundener Halsschmuck'
FLIEGE,'kleiner Krawattenersatz'
WESTE,'aermellose Jacke'
SANDALEN,'offene Sommerschuhe'
SPORTSCHUHE,'Fussbekleidung fuer Bewegung'
BIKINI,'zweiteilige Badekleidung'
SHORTS,'kurze Sommerhose'
STRUMPF,'lange Socke'
TOP,'aermelloses Oberteil'
HANDTASCHE,'kleiner Tragebeutel'
UNIFORM,'einheitliche Dienstkleidung'
ARMBAND,'Schmuck am Handgelenk'
OHRRING,'Schmuck im Ohrlaeppchen'
KNOPF,'kleiner Verschluss'
ABSATZ,'Erhoehung am Schuh'
KAPUZE,'Kopfschutz an Jacke'
KRAGEN,'Halsabschluss am Hemd'
AERMEL,'Teil fuer den Arm'
ZIPPER,'zahnartiger Verschluss'
SCHMUCK,'dekoratives Accessoire'
SCHLEIFE,'dekorativer Knoten'
NAHT,'Stoffverbindung'
SAUM,'unterer Stoffrand'
GARN,'Faden zum Naehen'
GELDBEUTEL,'Tasche fuer Muenzen'
MODE,'aktueller Kleidungsstil'
STOFF,'Material fuer Kleidung'
BAUMWOLLE,'pflanzlicher Stoff'
WOLLE,'tierischer Stoff'
SEIDE,'edler Fadenstoff'
LEDER,'Material aus Tierhaut'
GROESSE,'passende Abmessung'
MUSTER,'wiederholtes Design'
STREIFEN,'lineares Muster'
PUNKTE,'rundes Muster'
KARO,'quadratisches Muster'
STIL,'persoenliche Note'
OUTFIT,'Kleidungskombination'
DESIGN,'gestalterischer Entwurf'
TRAGEN,'Kleidung am Koerper haben'
AUSZIEHEN,'Kleidung ablegen'
PASSEN,'richtige Groesse haben'
NAEHEN,'Stoff verbinden'
WECHSELN,'Kleidung austauschen'
TESTEN,'Passform pruefen'
MODISCH,'dem Trend entsprechend'
ELEGANT,'geschmackvoll gekleidet'
BEQUEM,'angenehm zu tragen'
SCHICK,'modisch und elegant'
BUNT,'vielfarbig'
ENG,'koerpernah geschnitten'
GESTREIFT,'mit Linienmuster'
GEPUNKTET,'mit rundem Muster'
KARIERT,'mit quadratischem Muster'
