HAFT,'Zeit im Gefängnis'
ALIBI,'Beweis der Abwesenheit'
ANKLAGE,'Vorwurf vor Gericht'
DELIKT,'strafbare Handlung'
FALSCHGELD,'kopierte Banknoten'
GEISEL,'gefangene Person'
HAEFTLING,'Person im Gefängnis'
INDIZ,'indirekter Beweis'
VERHOER,'offizielle Befragung'
BETRUG,'unehrlicher Geldvorteil'
KAUTION,'Geld für Freiheit'
MOTIV,'Grund für Tat'
SPUREN,'Zeichen am Tatort'
SCHUSS,'Kugel aus Waffe'
UNRECHT,'was nicht fair ist'
JUSTIZ,'System des Rechts'
AUFSICHT,'Kontrolle und Überwachung'
BESCHLUSS,'formale Entscheidung'
FAHNDUNG,'organisierte Polizeisuche'
GERICHTSSAAL,'Raum für Prozesse'
GESTAENDNIS,'Zugeben der Tat'
HAFTBEFEHL,'Papier zur Festnahme'
KRIMINALITAET,'Gesamtheit der Verbrechen'
RECHTSANWALT,'juristischer Vertreter'
SCHULDSPRUCH,'Urteil für Täter'
STAATSANWALT,'Ankläger des Staates'
STRAFTAT,'Handlung gegen Gesetz'
VERBRECHER,'kriminelle Person'
VERDAECHTIGER,'möglicher Täter'
VERTEIDIGUNG,'Hilfe für Angeklagten'
ZEUGENAUSSAGE,'Bericht eines Beobachters'
FREISPRUCH,'Urteil ohne Schuld'
KOMPLIZE,'Helfer bei Straftat'
ERPRESSUNG,'Drohung für Geld'
NOTWEHR,'erlaubte Verteidigung'
BEWAEHRUNG,'Strafe ohne Gefängnis'
EINSPRUCH,'Widerspruch gegen Urteil'
BEUTE,'gestohlenes Gut'
VERFOLGUNG,'Jagd auf Flüchtigen'
UEBERFALL,'plötzlicher Angriff'
GESETZBUCH,'Buch mit Regeln'
ANKLAGEN,'jemanden beschuldigen'
AUSSSAGEN,'vor Gericht sprechen'
BEFRAGEN,'offiziell Fragen stellen'
KLAUEN,'umgangssprachlich stehlen'
RAUBEN,'mit Gewalt stehlen'
SPERREN,'in Zelle schließen'
SUEHNEN,'eine Schuld begleichen'
VERTEIDIGEN,'vor Gericht helfen'
GERECHT,'fair und richtig'
