BOES,'sehr unfreundlich'
ZART,'sehr sanft'
RAUH,'nicht sanft'
EHRE,'hohe Achtung'
REUE,'Bedauern einer Tat'
GIER,'starkes Verlangen'
HOHN,'spöttisches Lachen'
GRAM,'tiefer Kummer'
FEIG,'nicht mutig'
STARR,'unbeweglich'
LAHM,'ohne Energie'
ECHT,'nicht gespielt'
TRUEB,'niedergeschlagen'
AERGER,'kleine Wut'
SCHOCK,'plötzlicher Schrecken'
SCHAEMEN,'sich peinlich fühlen'
WUNDERN,'etwas komisch finden'
GEDULD,'Fähigkeit zu warten'
MITLEID,'mit anderen trauern'
NEUGIER,'Wunsch nach Wissen'
TAPFER,'sehr mutig'
ZWEIFELN,'nicht sicher sein'
BENEIDEN,'auf andere neidisch'
BEWUNDERN,'jemanden toll finden'
BEDAUERN,'leidtun'
AUFREGEN,'sich ärgern'
LANGWEILEN,'nichts zu tun'
ERLEICHTERT,'Sorge ist weg'
SEHNSUCHT,'starkes Vermissen'
VERZWEIFLUNG,'große Hoffnungslosigkeit'
DANKBARKEIT,'Gefühl des Dankes'
VERACHTUNG,'starke Geringschätzung'
BERUHIGEN,'wieder ruhig werden'
