VETTER,'Sohn von Onkel'
BASE,'Tochter von Tante'
DUZEN,'vertraut ansprechen'
SIEZEN,'höflich ansprechen'
ERBEN,'Besitz hinterlassen bekommen'
ENKELIN,'Tochter der Tochter'
COUSINE,'Tochter des Onkels'
SCHATZ,'liebevoller Kosename'
KUESSEN,'Kuss geben'
EHEPAAR,'verheiratetes Paar'
PARTNERIN,'Lebensgefährtin'
BEKANNTE,'flüchtig vertraute Person'
ENKELKINDER,'Kinder der Kinder'
GESCHIEDEN,'offiziell getrennt'
GRATULIEREN,'Glückwünsche aussprechen'
VORSTELLEN,'jemanden bekannt machen'
SCHWIEGERSOHN,'Mann der Tochter'
SCHWIEGERMUTTER,'Mutter des Ehepartners'
FAMILIENFEIER,'Fest mit Verwandten'
BEZIEHUNG,'Verbindung zwischen Menschen'
