KAROTTE,'oranges Wurzelgemüse'
KASE,'festes Milchprodukt'
KNOBLAUCH,'scharfe Würzknolle'
LIMONADE,'süßes Sprudelgetränk'
NUDEL,'Teigware aus Italien'
PAPRIKA,'buntes Schotengemüse'
PILZ,'Gewächs aus Waldboden'
PIZZA,'belegter Hefeteigfladen'
SCHINKEN,'gesalzenes Schweinefleisch'
SOSSE,'flüssige Speisebeilage'
SUPPE,'flüssige Vorspeise'
TEIG,'Masse zum Backen'
MAIS,'gelbes Getreidekorn'
PROBIEREN,'Geschmack testen'
SCHAELEN,'äußere Haut entfernen'
WUERZEN,'Geschmack hinzufügen'
ROH,'nicht gekocht'
