BREI,'weiche Speise'
NUSS,'harte Schalenfrucht'
KUEHL,'nicht warm'
HERB,'leicht bitter'
DILL,'grünes Küchenkraut'
MARK,'Inneres von Knochen'
SUD,'Flüssigkeit vom Kochen'
BIRNE,'glockenförmige Frucht'
GEWUERZ,'gibt Geschmack'
SAHNE,'fetter Milchrahm'
BLUMENKOHL,'weißes Blütengemüse'
BROKKOLI,'grünes Blütengemüse'
AUBERGINE,'lila Fruchtgemüse'
ZUCCHINI,'grünes Kürbisgemüse'
PETERSILIE,'glattes Küchenkraut'
BASILIKUM,'italienisches Küchenkraut'
RINDFLEISCH,'Fleisch vom Rind'
AUFTAUEN,'Eis schmelzen lassen'
HIMBEERE,'rote weiche Beere'
GEFLUEGEL,'Fleisch von Vögeln'
