AEQUATOR,'Linie in der Mitte'
ARGENTINIEN,'Land des Tangos'
BELGIEN,'Nachbar von Deutschland'
BERN,'Hauptstadt der Schweiz'
BONN,'alte Hauptstadt'
BREITENGRAD,'Linie von Ost nach West'
CUBA,'Inselstaat in Karibik'
DAENEMARK,'noerdlicher Nachbar'
HAMBURG,'grosse Hafenstadt'
INSELGRUPPE,'viele Inseln zusammen'
IRAK,'Nachbar von Iran'
KAIRO,'Hauptstadt von Aegypten'
KAP,'Spitze ins Meer'
LAENGENGRAD,'Linie von Nord nach Sued'
LAOS,'Land in Asien'
MAIN,'Fluss in Frankfurt'
MEXIKO,'suedlicher Nachbar USA'
MUENCHEN,'Stadt in Bayern'
NEIL,'Fluss in Aegypten'
ODER,'Grenzfluss zu Polen'
OSLO,'Norwegens Hauptstadt'
PERU,'Land in Suedamerika'
POLARKREIS,'kalte Linie im Norden'
RHEIN,'langer deutscher Fluss'
ROM,'Italiens Hauptstadt'
SCHWARZWALD,'grosses Waldgebiet'
STAATSGRENZE,'Linie zwischen Staaten'
SUEDAFRIKA,'Land an Afrikas Spitze'
TROPEN,'heisse Zone'
VULKAN,'Berg mit Feuer'
WELTMEER,'alle Ozeane'
WELTSTADT,'sehr grosse Stadt'
WIEN,'Hauptstadt Oesterreichs'
