EI,'österliche Überraschung'
SEKT,'Getränk zum Anstoßen'
GERN,'mit Vergnügen'
GOTT,'überirdische Macht'
GOLD,'edles gelbes Metall'
SAAL,'großer Raum für Feiern'
FEIER,'festliche Veranstaltung'
PARTY,'zwangloses Fest'
KERZE,'wächserne Lichtquelle'
ENGEL,'himmlischer Bote'
KIRCHE,'christliches Gotteshaus'
HASE,'Tier bringt Ostereier'
KUCHEN,'süßes Geburtstagsgebäck'
BRAUT,'Frau am Hochzeitstag'
KOSTUEM,'festliche Verkleidung'
OSTERN,'christliches Frühlingsfest'
ADVENT,'Zeit vor Weihnachten'
JUBEL,'lauter Freudenausruf'
PROST,'Trinkspruch beim Anstoßen'
FEUERWERK,'nächtliches Lichtspektakel'
WEIHNACHTEN,'Fest der Geburt Christi'
SILVESTER,'letzter Tag im Jahr'
KARNEVAL,'närrisches Treiben'
EINLADUNG,'Bitte zum Kommen'
GRATULIERN,'Glückwünsche aussprechen'
DEKORIEREN,'festlich schmücken'
VORBEREITEN,'für ein Fest herrichten'
FAMILIENFEST,'Feier mit Verwandten'
NEUJAHRSFEST,'Feier am Jahresanfang'
OKTOBERFEST,'bayerisches Volksfest'
SOMMERFEST,'Feier in warmer Jahreszeit'
WINTERFEST,'Feier in kalter Jahreszeit'
BRAUTPAAR,'Paar am Hochzeitstag'
BRAUTKLEID,'Gewand der Braut'
GLUECKWUNSCH,'Ausdruck guter Wünsche'
GASTGEBER,'Person die einlädt'
KIRSCHKUCHEN,'Gebäck mit Früchten'
LUFTBALLON,'aufgeblasene Dekoration'
KONFETTI,'bunte Papierschnipsel'
BLUMENSTRAUSS,'gebundene Pflanzengabe'
WUNDERKERZE,'sprühende Funken'
