MOPP,'Stiel mit Fransen'
MIST,'organischer Abfall'
FASS,'grosser Behaelter'
GAREN,'langsam kochen'
GLUT,'heisse Asche'
KEIM,'Beginn einer Pflanze'
WAESCHE,'schmutzige Kleidung'
BESTECK,'Gabel und Messer'
ORDNUNG,'Zustand ohne Chaos'
ABRAEUMEN,'Tisch leer machen'
BUEGELEISEN,'heisser Faltenentferner'
SCHUERZE,'Schutz fuer Kleidung'
STAUBWEDEL,'Geraet gegen Spinnweben'
ABHAENGEN,'trockene Waesche holen'
ZUSAMMENLEGEN,'Waesche falten'
PAPIERMUELL,'Abfall aus Papier'
BIOABFALL,'kompostierbarer MUELL'
GLASREINIGER,'Mittel fuer Fenster'
