FAN,'begeisterter Anhaenger'
HIT,'sehr erfolgreiches Lied'
QUIZ,'Spiel mit Fragen'
WITZ,'kurze lustige Geschichte'
PRESSE,'Zeitungen und Magazine'
PLAKAT,'grosse gedruckte Werbung'
ARTIKEL,'Text in Zeitung'
KRITIK,'fachliche Beurteilung'
SENDER,'Station fuer Programme'
MEDIEN,'Mittel zur Kommunikation'
KLATSCHEN,'Beifall mit Haenden'
NACHRICHTEN,'aktuelle Informationen'
JOURNALIST,'beruflicher Schreiber'
REDAKTEUR,'beruflicher Textpruefer'
EINTRITTSKARTE,'Berechtigung zum Besuch'
LIEBLINGSFILM,'bevorzugter Film'
LIEBLINGSLIED,'bevorzugtes Musikstueck'
SCHLAGZEUG,'Rhythmusinstrument'
FERNSEHSERIE,'fortlaufende Sendung'
DOKUMENTATION,'sachlicher Bericht'
KRIMINALROMAN,'spannende Lektuere'
KOMMUNIKATION,'gegenseitiger Austausch'
