LAUB,'Blätter im Herbst'
REIF,'weisser Morgenfrost'
TAU,'Wassertropfen am Morgen'
REGNEN,'Wasser fallen lassen'
WOLKIG,'mit vielen Wolken'
WINDIG,'mit viel Wind'
SONNIG,'mit viel Sonne'
SCHAUER,'kurzer starker Regen'
SCHNEIEN,'Schnee fallen lassen'
SCHEINEN,'Licht geben'
WACHSEN,'grösser werden'
BLUETE,'farbiger Teil Blume'
WETTERBERICHT,'Info über Wetter'
BLAETTER,'grünes Kleid Bäume'
SONNENBLUME,'gelbe hohe Blume'
NIEDERSCHLAG,'Regen oder Schnee'
HOCHWASSER,'sehr viel Wasser'
TROCKENHEIT,'lange Zeit ohne Regen'
BEWOELKUNG,'Wolken am Himmel'
SONNENUNTERGANG,'Ende des Sonnentages'
SONNENAUFGANG,'Beginn des Sonnentages'
KLIMAWANDEL,'Änderung des Klimas'
REGENWALD,'Wald mit viel Regen'
EISSCHOLLE,'schwimmendes Eisstück'
GEWITTERWOLKE,'dunkle Regenwolke'
SCHNEEFALL,'wenn Schnee fällt'
SCHNEEFLOCKE,'kleines Stück Schnee'
WETTERLAGE,'aktuelles Wetter'
DURCHSCHNITT,'mittlerer Wert'
VORHERSAGE,'Blick in Zukunft'
MEERESBRISE,'leichter Küstenwind'
GEWITTERSTURM,'Unwetter mit Donner'
