RAT,'beratendes Gremium'
VOLK,'gesamte Bevoelkerung'
ARMUT,'Zustand ohne Besitz'
KRISE,'schwierige Situation'
STEUER,'Abgabe an Staat'
FORDERN,'etwas verlangen'
SOZIAL,'gesellschaftlich orientiert'
ARMEE,'militaerische Streitkraefte'
BEAMTER,'Staatsangestellter'
FABRIK,'industrieller Herstellungsort'
FLAGGE,'nationales Symbol'
KANZLER,'Regierungschef'
KOENIG,'maennlicher Monarch'
PARTEI,'politische Vereinigung'
PROTEST,'oeffentliche Meinungsbekundung'
SOLDAT,'Angehoeriger der Armee'
WAEHLER,'Person bei Abstimmung'
WAFFEN,'Geraete fuer Kampf'
REGIEREN,'ein Land leiten'
DEBATTE,'oeffentliche Diskussion'
EXPORTE,'Warenverkauf ins Ausland'
IMPORTE,'Wareneinkauf aus Ausland'
MINISTER,'Mitglied der Regierung'
BEHOERDE,'staatliche Verwaltungsstelle'
FREIHEIT,'Zustand ohne Zwang'
GEMEINDE,'kleinste Verwaltungseinheit'
KANDIDAT,'Bewerber um Amt'
KOENIGIN,'weiblicher Monarch'
MINISTERIN,'weibliches Regierungsmitglied'
POLITIKER,'Person in Politik'
PRAESIDENT,'Staatsoberhaupt'
REGIERUNG,'leitende Gruppe des Staates'
REPUBLIK,'Staatsform ohne Monarch'
TRADITION,'ueberlieferter Brauch'
WIRTSCHAFT,'alle Firmen eines Landes'
BUNDESTAG,'deutsches Parlament'
PARLAMENT,'Versammlung von Abgeordneten'
DEMOKRATIE,'Herrschaft des Volkes'
INDUSTRIE,'gewerbliche Produktion'
ENTSCHEIDUNG,'Treffen einer Wahl'
PROTESTIEREN,'oeffentlich widersprechen'
DISKUTIEREN,'Meinungen austauschen'
ENTSCHEIDEN,'eine Wahl treffen'
BUNDESLAND,'Teilstaat eines Bundes'
VORSITZENDE,'leitende Person'
