TIPP,'guter Ratschlag'
WISSEN,'Informationen haben'
LEICHT,'nicht schwierig'
DIKTAT,'Text zum Mitschreiben'
GEOGRAPHIE,'Lehre von der Erde'
STUNDENPLAN,'Uebersicht der Faecher'
SPORTPLATZ,'Areal fuer Bewegung'
TURNBEUTEL,'Tasche fuer Sport'
SCHULRANZEN,'Ruecksack fuer Schule'
RADDIERER,'entfernt Bleistift'
NOTIZBUCH,'Heft fuer Gedanken'
AUSSPRECHEN,'Worte laut sagen'
SCHWIERIG,'nicht einfach'
FUELLHALTER,'Stift mit Feder'
SEMESTER,'halbes Schuljahr'
ERGEBNIS,'Resultat einer Aufgabe'
HANDSCHRIFT,'Art zu schreiben'
SPITZER,'macht Stifte scharf'
LOESUNG,'richtige Antwort'
VOKABEL,'Wort in Fremdsprache'
