KASSE,'Ort des Bezahlens'
SUPERMARKT,'grosses Lebensmittelgeschaeft'
LADEN,'kleines Verkaufsgeschaeft'
VERKAUFEN,'Ware gegen Geld geben'
PREIS,'Wert einer Ware'
KUNDE,'Person die kauft'
BEZAHLEN,'Geld fuer Ware geben'
KILO,'tausend Gramm Gewicht'
TASCHE,'tragbarer Behaelter'
ANPROBIEREN,'Kleidung testweise tragen'
BROT,'gebackenes Grundnahrungsmittel'
JACKE,'Kleidung fuer draussen'
EINKAUFSWAGEN,'Wagen fuer den Einkauf'
SCHUHE,'Bekleidung fuer Fuesse'
SAFT,'fluessiges Obst'
LEBENSMITTEL,'Produkte zum Essen'
BUTTER,'Streichfett aus Milch'
BAECKEREI,'Geschaeft fuer Backwaren'
KAESE,'festes Milchprodukt'
METZGEREI,'Geschaeft fuer Fleisch'
ABTEILUNG,'Bereich im Geschaeft'
ROCK,'Kleidungsstueck fuer Beine'
ZUCKER,'suesses Wuerzmittel'
SCHAUFENSTER,'Glasfront eines Ladens'
ZETTEL,'kleines Notizpapier'
GELDBOERSE,'Behaelter fuer Muenzen'
OBST,'suesser Pflanzenteil'
BEUTEL,'flexibler Tragesack'
KREDITKARTE,'Plastikgeld zum Bezahlen'
REST,'uebrig gebliebener Teil'
WARE,'Produkt zum Verkauf'
THEKE,'Verkaufstisch im Geschaeft'
QUITTUNG,'Beweis fuer Zahlung'
BON,'kleiner Kassenzettel'
RABATT,'prozentualer Preisnachlass'
KASSENBON,'Zettel von der Kasse'
CENT,'kleinste Euro-Muenze'
ANGEBOT,'zeitlich guenstiger Preis'
SONDERANGEBOT,'besonders guenstiger Preis'
ERDBEERE,'kleine rote Frucht'
SCHOKOLADE,'suesse Kakaomasse'
BIER,'Getraenk aus Hopfen'
MUETZE,'Kopfbedeckung gegen Kaelte'
ZEITSCHRIFT,'buntes Wochenmagazin'
MEHL,'gemahlenes Getreide'
TOMATE,'rotes Fruchtgemuese'
HANDSCHUH,'Bekleidung fuer Haende'
OEL,'fluessiges Fett'
SALAT,'Mischung aus Gemuese'
BRIEFTASCHE,'Tasche fuer Geldscheine'
REIS,'asiatisches Getreidekorn'
FLEISCH,'essbarer Tiermuskel'
GELDAUTOMAT,'Maschine fuer Bargeld'
MILCH,'weisse Tierfluessigkeit'
EINKAUFSKORB,'tragbarer Korb fuer Waren'
MARKT,'Handelsplatz im Freien'
GEMUESE,'essbare Pflanzenteile'
GETRAENKE,'Waren zum Trinken'
BANANE,'gelbe Tropenfrucht'
KARTOFFEL,'essbare Erdfrucht'
NETZ,'Tasche mit Loechern'
ORANGE,'runde Zitrusfrucht'
VERKAEUFER,'Person die verkauft'
FISCH,'Tier aus Wasser'
VERKAEUFERIN,'Frau die verkauft'
KOSTEN,'einen Preis haben'
UMTAUSCHEN,'Ware gegen andere wechseln'
SUCHEN,'etwas zu finden versuchen'
AUSGEBEN,'Geld verwenden'
WIEGEN,'Gewicht feststellen'
BESTELLEN,'Ware zum Liefern anfordern'
GROSS,'ueberdurchschnittlich bemessen'
SPAREN,'Geld zuruecklegen'
EINPACKEN,'Ware in Tasche tun'
KLEIN,'unterdurchschnittlich bemessen'
KOSTENLOS,'ohne etwas zu zahlen'
REDUZIERT,'im Preis gesenkt'
