RAUS,'Aktion bei Ausverkauf'
PRO,'je einzelnes Stueck'
MEHR,'groessere Anzahl'
GRATIS,'ohne Bezahlung'
SPENDE,'Geld fuer guten Zweck'
SCHEIN,'Geld aus Papier'
VERKAUF,'Waren an Kunden geben'
GEWINN,'Plus beim Verkaufen'
VERLUST,'Minus beim Verkaufen'
UMTAUSCH,'Ware gegen Ware wechseln'
ANPROBE,'Kabine zum Probieren'
AUSWAHL,'viele verschiedene Dinge'
PREISWERT,'gut und guenstig'
SCHULDEN,'Geld das man zurueckzahlt'
KUNDENKARTE,'bringt Punkte oder Rabatt'
LADENSCHLUSS,'Zeitpunkt des Schliessens'
SELBSTBEDIENUNG,'Kunde nimmt Ware selbst'
STAMMKUNDE,'kauft immer im selben Laden'
VERBRAUCHER,'Person die Produkte nutzt'
WECHSELGELD,'Muenzen als Rest zurueck'
PREISVERGLEICH,'guenstigstes Angebot suchen'
GUTSCHRIFT,'Geld zurueck aufs Konto'
BARGELDLOS,'Zahlen ohne Muenzen'
GESCHENKGUTSCHEIN,'Wertpapier zum Verschenken'
KUNDENDIENST,'Hilfe nach dem Kauf'
PREISNACHLASS,'Reduzierung des Preises'
RUECKGABE,'Ware zurueckbringen'
SCHLUSSVERKAUF,'letzte Rabattaktion'
VERSANDKOSTEN,'Geld fuer den Transport'
GARANTIE,'Sicherheit fuer Produktqualitaet'
