AKTIV,'gern in Bewegung'
AUFHOEREN,'eine Aktivität beenden'
AUSRUESTUNG,'benötigte Sportgegenstände'
ENTSPANNUNG,'Zustand nach Anstrengung'
FITNESSCENTER,'Ort zum Trainieren'
GEGNER,'Person im anderen Team'
GYMNASTIK,'Übungen für Beweglichkeit'
JOGGEN,'langsam ausdauernd laufen'
SCHIEDSRICHTER,'Person mit Pfeife'
SIEGEN,'den Wettkampf gewinnen'
SKATEN,'auf Brett mit Rollen'
SPORTART,'bestimmte Sorte Sport'
SPORTHALLE,'Gebäude für Sport'
SPORTLICH,'gern Sport treibend'
TAUCHEN,'unter Wasser atmen'
TEILNEHMER,'Person die mitspielt'
TIEF,'Gegenteil von hoch'
UEBUNG,'Aufgabe im Training'
VEREIN,'Organisation für Sportler'
