LAUF,'schnelle Bewegung'
KLUB,'anderes Wort für Verein'
PFEIL,'Waffe für Bogen'
HELM,'Schutz für den Kopf'
PUCK,'schwarze Scheibe'
REGELN,'was man tun darf'
FINALE,'letztes Spiel'
TENNIS,'Sport mit Schläger'
KAEMPFEN,'um den Sieg ringen'
PFEIFE,'macht lautes Geräusch'
SCHIESSEN,'Ball ins Tor bewegen'
KAPITAEN,'Chef der Mannschaft'
LEISTUNG,'Ergebnis der Anstrengung'
SPORTLER,'Person die Sport macht'
FUSSBALLSPIEL,'Wettkampf mit Ball'
KRAFTTRAINING,'Übung für Muskeln'
TORWART,'schützt das Tor'
ERWAERMUNG,'Vorbereitung der Muskeln'
LEICHTATHLETIK,'Laufen, Springen, Werfen'
ZIELGERADE,'letzter Teil der Strecke'
SIEGEREHRUNG,'Feier für Gewinner'
SPORTKLEIDUNG,'Anziehsachen für Sport'
HALBZEITPAUSE,'Unterbrechung im Spiel'
PUNKTESTAND,'zeigt die Punkte an'
SPIELFELD,'Fläche zum Spielen'
TORJAEGER,'schiesst viele Tore'
RENNSTRECKE,'Weg für Rennen'
SPRUNGBRETT,'für Sprung ins Wasser'
