SPAM,'unerwünschte Mail'
FORUM,'Online-Diskussion'
SERVER,'zentraler Computer'
SENSOR,'digitaler Fühler'
MODEM,'Internet-Box'
POSTEN,'etwas online stellen'
CHATTEN,'online schreiben'
BENUTZER,'Person am Computer'
KOMMENTAR,'eigene Meinung online'
ANWENDUNG,'anderes Wort für App'
NETZWERK,'verbundene Computer'
WEBCAM,'Kamera für Computer'
BROWSER,'Programm fürs Internet'
DOWNLOAD,'geholte Datei'
E-MAIL,'elektronische Post'
EMOJI,'kleines Gefühl-Bild'
MAUSPAD,'Unterlage für Maus'
MENUE,'Liste mit Optionen'
PROFIL,'persönliche Seite'
ROUTER,'verteilt das WLAN'
UPDATE,'neue Version'
UPLOAD,'hochgeladene Datei'
ZEICHEN,'Buchstabe oder Symbol'
ZUGANG,'Weg hinein'
SKYPEN,'per Video telefonieren'
VERNETZEN,'miteinander verbinden'
STREAMEN,'Film direkt ansehen'
AKZEPTIEREN,'auf Ja klicken'
AKTUALISIEREN,'neu machen'
FESTPLATTE,'großer Datenspeicher'
LAUFWERK,'liest CDs'
SUCHMASCHINE,'findet Webseiten'
SIM-KARTE,'Chip fürs Handy'
