DUENGER,'Nahrung fuer Pflanzen'
SPATEN,'Grabwerkzeug mit Blatt'
SAEGEN,'Holz durchschneiden'
BOHREN,'ein Loch machen'
KLEBEN,'mit Leim verbinden'
GRABEN,'Loch in Erde machen'
ZIEGEL,'roter Baustein'
MOERTEL,'Kleber fuer Steine'
LOCKER,'nicht fest'
SCHARF,'sehr gut schneidend'
STUMPF,'nicht mehr scharf'
BAUMARKT,'Geschaeft fuer Handwerker'
GIESSKANNE,'Behaelter fuer Wasser'
RASENMAEHER,'Maschine fuer Gras'
GARTENSCHERE,'Schere fuer Aeste'
RENOVIEREN,'Wohnung neu machen'
STREICHEN,'Wand Farbe geben'
HAEMMERN,'mit Hammer schlagen'
SCHRAUBEN,'mit Drehung befestigen'
SCHLEIFPAPIER,'raues Papier zum Glaetten'
ZOLLSTOCK,'Lineal zum Klappen'
MASSBAND,'Band zum Messen'
WASSERWAAGE,'Geraet fuer Geradheit'
KLEISTER,'Klebstoff fuer Tapeten'
SCHUBKARRE,'Wagen mit einem Rad'
NIEDRIG,'nicht hoch'
SCHRAUBSTOCK,'starke Festhaltehilfe'
