STAU,'viele wartende Autos'
RAST,'Pause auf Reise'
KAI,'Anlegeplatz fuer Schiff'
FAEHRE,'Schiff fuer Autos'
KABINE,'kleiner Schlafraum'
CAMPEN,'im Zelt schlafen'
UEBERNACHTUNG,'eine Nacht schlafen'
STADTRUNDFAHRT,'Tour durch Stadt'
SONNENSCHIRM,'Schutz vor Sonne'
HANDGEPAECK,'kleine Tasche'
REISEVERSICHERUNG,'Schutz auf Reisen'
AUSLAND,'anderes Land'
REISEPLAN,'Liste fuer Reise'
REISELEITER,'fuehrt eine Gruppe'
TOURISMUS,'Reisen als Beruf'
MIETWAGEN,'geliehenes Auto'
SPRACHSCHULE,'Ort zum Lernen'
GAESTEHAUS,'kleines Hotel'
HALBPENSION,'mit zwei Mahlzeiten'
VOLLPENSION,'mit drei Mahlzeiten'
