MUTTER,"Frau mit Kindern"
VATER,"Mann mit Kindern"
SOHN,"Junge von Eltern"
TOCHTER,"Maedchen von Eltern"
BRUDER,"Sohn der gleichen Mutter"
SCHWESTER,"Tochter der gleichen Mutter"
GROSSMUTTER,"Mutter der Mutter"
GROSSVATER,"Vater des Vaters"
ONKEL,"Bruder der Mutter"
TANTE,"Schwester des Vaters"
COUSIN,"Sohn des Onkels"
COUSINE,"Tochter der Tante"
EHEMANN,"Mann von verheirateter Frau"
EHEFRAU,"Frau von verheiratetem Mann"
BRAUT,"Zukuenftige Ehefrau"
BRAEUTIGAM,"Zukuenftiger Ehemann"
HOCHZEIT,"Tag der Trauung"
EHE,"Verbindung zweier Personen"
LIEBE,"Gefuehl fuer nahestehende Person"
ZUNEIGUNG,"Sanfte Liebe und Zartheit"
KIND,"Sohn oder Tochter"
BABY,"Sehr junges Kind"
SAEUGLING,"Neugeborenes Kind"
NEUGEBORENES,"Gerade geborenes Kind"
JUGENDLICHER,"Pubertierende Person"
JUGEND,"Zeit zwischen Kind und Erwachsener"
ERWACHSENER,"Ausgewachsene Person"
GREIS,"Sehr alter Mensch"
GREISIN,"Alte Frau"
WITWE,"Frau ohne verstorbenen Mann"
WITWER,"Mann ohne verstorbene Frau"
WAISE,"Kind ohne Eltern"
PFLEGEKIND,"Kind von Adoptiveltern"
STIEFMUTTER,"Zweite Ehefrau des Vaters"
STIEFVATER,"Zweiter Ehemann der Mutter"
HALBGESCHWISTER,"Kind der gleichen Mutter mit anderem Vater"
VERWANDTE,"Blutsbande habendes Familienmitglied"
VERWANDTSCHAFT,"Verhaeltnis durch Blut oder Heirat"
GESCHWISTER,"Zusammen geborene Kinder"
ELTERN,"Mutter und Vater"
MAENGEL,"Unzulaenglichkeit in Beziehung"
KONFLIKT,"Meinungsverschiedenheit zwischen Personen"
VERSOEHN,"Wiederherzstellung von Freundschaft"
EIFERSUCHT,"Argwohn um fremde Zuneigung"
EIFERSUECHTIG,"Argwoehne empfindende Stimmung"
EGOISTISCH,"Nur an sich selbst denkend"
EIGENSINNING,"Starrkoepfig bei Wunscherfullung"
STARRSINNING,"Unnachgiebig bei Ansicht"
UNVERSOEHNLICH,"Nicht zu zaehmende Feinschaft"
BOSHEIT,"Absicht zu schaedigen"
GRAUSAMKEIT,"Mangel an Mitleid"
VERRAT,"Untreue gegenueber Nahestehenden"
UNTREUE,"Bruechigkeit in Beziehung"
TREUE,"Standhaftigkeit in Beziehung"
TREU,"Nicht untreu in Liebe"
LOYALITAET,"Treue gegenueber Person"
VERTRAUEN,"Glaube an Zuverlaessigkeit"
VERTRAUENSWUERDIG,"Wert des Glaubens"
VERDACHT,"Argumentation ohne Beweise"
MISSTRAUEN,"Fehlender Glaube an Treue"
NEID,"Wunsch um Besitz des anderen"
SORGE,"Angst um Wohlbefinden"
SORGENLOS,"Ohne Furcht um Zukunft"
BESORGNIS,"Unruhe um moegliche Gefahr"
BESORGT,"In Sorge versunken"
HUETE,"Akt des Bewaehrens"
SCHUTZ,"Sicherung vor Schaedigung"
BEWAHREN,"Erhalten vor Verlust"
GEFUEHL,"Innerlich empfundene Regung"
GEFUEHLVOLL,"Mit Empfindsamkeit erfuellt"
GEFUEHLSKALT,"Ohne innere Regung"
HERZLICHKEIT,"Aufrichtigkeit mit Waermte"
HERZLICH,"Mit aufrichtiger Waermte"
